"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17643","test_department_master","","2026-05-21","passed","2026-05-21","","test_Automation_for_Department_master","",""
"","8818","test_create_institute","","2026-05-21","broken","2026-05-21","","test_Automation_for_institute_master","",""
"","49821","test_trust_master","","2026-05-21","passed","2026-05-21","","test_Automation_for_trust_master","",""
"","21934","test_course_category","","2026-05-21","passed","2026-05-21","","test_Automation_for_course_master","",""
